prompt_id,story_url,rank_in_prompt,likes,comments
16,https://blog.reedsy.com/short-story/gqsbc9/,5,16,4
16,https://blog.reedsy.com/short-story/e7b7la/,6,14,8
16,https://blog.reedsy.com/short-story/kgi39x/,7,14,2
16,https://blog.reedsy.com/short-story/v87xwa/,8,13,4
16,https://blog.reedsy.com/short-story/j7htcu/,9,12,16
16,https://blog.reedsy.com/short-story/fwe6i6/,10,11,5
16,https://blog.reedsy.com/short-story/jxsc99/,11,11,2
16,https://blog.reedsy.com/short-story/hi1u1o/,12,11,2
16,https://blog.reedsy.com/short-story/y7wpbf/,13,11,1
16,https://blog.reedsy.com/short-story/1tj6n0/,14,11,0
17,https://blog.reedsy.com/short-story/v6x1gs/,1,94,56
17,https://blog.reedsy.com/short-story/64yovs/,2,47,42
17,https://blog.reedsy.com/short-story/zs2air/,3,20,13
17,https://blog.reedsy.com/short-story/pqvhyy/,4,19,12
17,https://blog.reedsy.com/short-story/4ijttw/,5,18,10
17,https://blog.reedsy.com/short-story/wonyax/,6,16,10
17,https://blog.reedsy.com/short-story/npnuzl/,7,15,5
17,https://blog.reedsy.com/short-story/8ll7pf/,8,15,4
17,https://blog.reedsy.com/short-story/iv292q/,9,14,10
17,https://blog.reedsy.com/short-story/1aue38/,10,14,6
17,https://blog.reedsy.com/short-story/p3hqxo/,11,14,4
17,https://blog.reedsy.com/short-story/w5ji3r/,12,12,7
17,https://blog.reedsy.com/short-story/25j43s/,13,12,6
17,https://blog.reedsy.com/short-story/0a4979/,14,12,1
17,https://blog.reedsy.com/short-story/yr6y2k/,15,11,6
18,https://blog.reedsy.com/short-story/mtq2dd/,1,34,31
18,https://blog.reedsy.com/short-story/wlc6jd/,2,23,16
18,https://blog.reedsy.com/short-story/u8c9uc/,3,21,12
18,https://blog.reedsy.com/short-story/rm70ga/,4,21,10
18,https://blog.reedsy.com/short-story/ak6ksd/,5,18,17
18,https://blog.reedsy.com/short-story/6l9uks/,6,15,2
18,https://blog.reedsy.com/short-story/16teb1/,7,14,7
18,https://blog.reedsy.com/short-story/qatp6l/,8,14,5
18,https://blog.reedsy.com/short-story/azllpr/,9,13,2
18,https://blog.reedsy.com/short-story/4wnfja/,10,12,2
18,https://blog.reedsy.com/short-story/klcgv2/,11,12,1
18,https://blog.reedsy.com/short-story/4cdw7k/,12,11,5
18,https://blog.reedsy.com/short-story/bjenk5/,13,11,4
18,https://blog.reedsy.com/short-story/94r36a/,14,11,4
18,https://blog.reedsy.com/short-story/5jw8h8/,15,11,2
19,https://blog.reedsy.com/short-story/ekx5xa/,1,33,28
19,https://blog.reedsy.com/short-story/cwdx51/,2,20,25
19,https://blog.reedsy.com/short-story/onw854/,3,20,7
19,https://blog.reedsy.com/short-story/ae269h/,4,19,16
19,https://blog.reedsy.com/short-story/pnrgj9/,5,16,19
19,https://blog.reedsy.com/short-story/qi87jv/,6,16,7
19,https://blog.reedsy.com/short-story/8u605v/,7,12,16
19,https://blog.reedsy.com/short-story/f8wa4i/,8,11,15
19,https://blog.reedsy.com/short-story/kdbycp/,9,11,9
20,https://blog.reedsy.com/short-story/i3sdmf/,1,36,24
20,https://blog.reedsy.com/short-story/x0yjnj/,2,20,17
20,https://blog.reedsy.com/short-story/0x1yi9/,3,18,3
20,https://blog.reedsy.com/short-story/2lxzs3/,4,16,8
20,https://blog.reedsy.com/short-story/hkb1rk/,5,14,0
20,https://blog.reedsy.com/short-story/j9c2cx/,6,12,7
20,https://blog.reedsy.com/short-story/meqxhk/,7,11,1
